Employee_ID,Age,Experience_Years,Education,Department,Job_Level,Performance_Rating,Projects_Completed,Certifications,Weekly_Work_Hours,Remote_Work,City_Tier,Job_Satisfaction,Salary_LPA,Salary_Status
95,10096,29,5,Master,IT,3,3.0,3,3,44.9,Yes,Tier 1,2,1.4,Low
96,10097,28,5,Master,Finance,2,3.2,4,6,38.0,Yes,Tier 3,1,1.15,Low
97,10098,32,6,Master,IT,2,3.9,9,4,44.8,Yes,Tier 2,1,1.28,Low
98,10099,54,33,Bachelor,Operations,9,2.8,29,9,36.9,Yes,Tier 1,5,2.5,High
99,10100,53,33,Master,HR,9,3.1,32,14,43.1,No,Tier 2,5,2.5,High
100,10101,43,17,Master,Operations,5,3.2,16,7,35.8,Yes,Tier 1,2,1.97,Low
101,10102,44,19,Bachelor,Finance,6,3.5,20,6,49.6,No,Tier 2,2,2.3,High
102,10103,57,31,Bachelor,Marketing,8,3.7,26,13,41.4,Yes,Tier 2,5,2.5,High
103,10104,55,35,Diploma,Sales,9,4.8,30,13,39.5,Yes,Tier 2,2,2.5,High
104,10105,60,40,Bachelor,HR,10,3.9,35,14,37.3,Yes,Tier 2,4,2.5,High
105,10106,42,15,Master,Finance,4,3.9,15,7,36.8,Yes,Tier 1,3,2.02,Low
106,10107,47,23,Bachelor,IT,6,3.3,21,11,45.2,No,Tier 2,5,2.45,High
107,10108,55,31,Diploma,Sales,9,2.9,26,12,48.0,No,Tier 1,5,2.5,High
108,10109,21,0,Bachelor,Operations,1,3.2,1,2,47.5,Yes,Tier 1,1,0.8,Low
109,10110,55,32,Diploma,IT,10,3.0,30,11,50.0,No,Tier 3,2,2.5,High
110,10111,57,36,Diploma,Finance,10,3.8,33,15,51.7,No,Tier 2,5,2.5,High
111,10112,34,12,Bachelor,Finance,5,2.4,11,6,47.8,Yes,Tier 3,5,1.7,Low
112,10113,23,3,Master,Operations,2,3.9,6,2,40.5,Yes,Tier 1,4,1.04,Low
113,10114,21,0,Bachelor,HR,1,3.4,3,1,43.8,No,Tier 2,2,0.71,Low
114,10115,25,0,Diploma,Operations,1,4.0,6,3,31.7,Yes,Tier 1,3,0.73,Low
115,10116,46,26,High School,Marketing,7,3.0,21,10,46.2,No,Tier 2,4,2.5,High
116,10117,34,14,Master,IT,4,2.9,14,7,43.7,No,Tier 1,3,1.9,Low
117,10118,59,38,Bachelor,HR,10,3.2,33,14,51.0,No,Tier 1,1,2.5,High
118,10119,47,22,Master,Sales,7,3.2,21,10,39.3,Yes,Tier 1,5,2.5,High
119,10120,29,4,Master,Marketing,2,4.0,10,3,45.6,No,Tier 2,4,1.2,Low
120,10121,35,10,Master,HR,3,4.0,11,4,38.0,Yes,Tier 1,3,1.52,Low
121,10122,35,14,Bachelor,IT,5,4.7,16,6,42.4,No,Tier 3,2,1.88,Low
122,10123,46,26,Master,Finance,7,3.2,23,8,34.8,No,Tier 1,1,2.5,High
123,10124,33,12,Bachelor,Sales,5,1.3,15,5,49.8,Yes,Tier 1,1,1.68,Low
124,10125,52,28,PhD,Operations,8,3.2,27,9,48.3,No,Tier 1,5,2.5,High
125,10126,59,35,Bachelor,IT,10,3.6,30,16,40.6,Yes,Tier 3,5,2.5,High
126,10127,52,31,Bachelor,Marketing,8,4.0,27,10,44.3,Yes,Tier 1,3,2.5,High
127,10128,24,0,Bachelor,Marketing,2,3.7,4,5,43.2,No,Tier 1,3,0.96,Low
128,10129,50,23,Diploma,Finance,7,3.2,20,10,39.9,No,Tier 2,1,2.44,High
129,10130,57,37,Master,Finance,10,4.6,33,13,43.6,No,Tier 1,3,2.5,High
130,10131,43,22,Diploma,Sales,6,2.8,20,10,40.8,Yes,Tier 2,5,2.29,High
131,10132,59,38,Bachelor,Operations,10,3.3,34,13,47.9,No,Tier 1,1,2.5,High
132,10133,35,14,Bachelor,Sales,5,2.8,14,4,41.9,Yes,Tier 2,1,1.78,Low
133,10134,49,22,Master,Finance,7,3.5,19,9,55.0,No,Tier 1,2,2.5,High
134,10135,56,29,Master,Finance,9,4.5,29,12,42.6,No,Tier 2,2,2.5,High
135,10136,33,11,Master,Marketing,3,3.4,12,7,43.6,No,Tier 2,3,1.59,Low
136,10137,52,28,Master,Finance,8,3.4,25,11,45.6,No,Tier 2,3,2.5,High
137,10138,27,1,Diploma,HR,2,2.4,5,1,47.2,No,Tier 2,5,0.91,Low
138,10139,42,17,High School,IT,5,3.3,12,9,43.4,No,Tier 3,5,1.88,Low
139,10140,48,25,Master,Finance,8,4.2,28,11,45.5,No,Tier 1,2,2.5,High
140,10141,22,0,Bachelor,Sales,1,3.3,3,2,43.9,No,Tier 1,1,0.84,Low
141,10142,26,0,Bachelor,Operations,1,3.3,1,3,39.1,No,Tier 2,4,0.77,Low
142,10143,48,21,High School,Operations,7,4.2,23,11,37.8,No,Tier 2,4,2.33,High
143,10144,48,23,Bachelor,Operations,6,3.3,20,9,46.5,No,Tier 1,3,2.46,High
144,10145,40,17,High School,HR,5,4.3,19,6,50.6,Yes,Tier 2,4,1.91,Low
145,10146,50,28,Master,Sales,8,2.7,26,10,34.8,Yes,Tier 1,4,2.5,High
146,10147,31,10,Diploma,HR,3,3.9,7,3,35.8,No,Tier 2,2,1.25,Low
147,10148,48,26,Bachelor,Finance,7,4.6,24,11,35.8,No,Tier 3,1,2.5,High
148,10149,45,18,High School,IT,6,4.2,18,6,46.9,No,Tier 2,5,2.12,High
149,10150,59,37,Master,Operations,10,2.3,35,15,47.3,Yes,Tier 1,2,2.5,High
150,10151,53,27,Bachelor,Sales,8,3.1,26,10,38.1,Yes,Tier 2,5,2.5,High
151,10152,21,1,Master,Operations,1,3.3,1,3,54.0,No,Tier 2,2,0.98,Low
152,10153,47,20,Master,HR,6,4.2,22,5,41.1,No,Tier 1,2,2.37,High
153,10154,33,6,Bachelor,Marketing,3,2.6,7,3,50.2,Yes,Tier 2,4,1.26,Low
154,10155,23,0,Master,Finance,2,2.8,7,0,47.0,No,Tier 3,5,0.87,Low
155,10156,59,35,PhD,IT,9,2.5,30,15,38.2,No,Tier 1,2,2.5,High
156,10157,26,3,Master,Finance,1,3.0,5,5,40.9,Yes,Tier 1,4,1.02,Low
157,10158,28,7,Master,Marketing,3,2.7,7,1,38.6,Yes,Tier 1,3,1.35,Low
158,10159,47,21,Diploma,IT,7,4.5,19,10,36.3,Yes,Tier 2,5,2.44,High
159,10160,29,6,Bachelor,Marketing,3,3.1,6,5,41.7,Yes,Tier 3,2,1.25,Low
160,10161,57,32,High School,Finance,10,3.9,32,13,37.0,No,Tier 2,3,2.5,High
161,10162,53,30,High School,HR,8,3.5,24,12,42.1,Yes,Tier 1,4,2.5,High
162,10163,44,19,PhD,Finance,5,3.5,20,8,52.7,Yes,Tier 2,2,2.4,High
163,10164,35,9,Bachelor,Finance,3,3.1,12,6,46.5,No,Tier 2,4,1.57,Low
164,10165,52,25,Master,Finance,7,4.0,26,9,40.2,No,Tier 2,4,2.5,High
165,10166,52,25,Master,Sales,7,3.6,23,11,39.8,No,Tier 1,4,2.5,High
166,10167,44,20,Master,Marketing,7,3.6,16,8,41.0,Yes,Tier 2,5,2.43,High
167,10168,32,6,PhD,Marketing,3,3.1,7,4,53.4,No,Tier 1,3,1.43,Low
168,10169,59,34,Diploma,Operations,10,3.2,32,14,37.6,No,Tier 1,3,2.5,High
169,10170,22,0,High School,Marketing,1,3.9,3,0,43.0,No,Tier 2,1,0.55,Low
170,10171,23,0,Bachelor,Operations,2,3.6,4,0,45.3,No,Tier 3,2,0.8,Low
171,10172,57,32,Diploma,Sales,9,3.6,32,12,49.1,No,Tier 1,4,2.5,High
172,10173,37,15,High School,HR,4,3.0,16,8,41.3,No,Tier 3,2,1.54,Low
173,10174,22,0,Bachelor,Operations,1,4.8,3,0,38.2,No,Tier 1,3,0.78,Low
174,10175,22,2,Master,Finance,2,3.2,1,2,44.4,Yes,Tier 2,3,1.02,Low
175,10176,48,21,Bachelor,HR,6,3.5,18,8,49.6,Yes,Tier 1,4,2.37,High
176,10177,43,22,Bachelor,Sales,6,3.4,20,8,41.6,Yes,Tier 1,5,2.41,High
177,10178,57,34,Master,Marketing,10,4.8,25,13,38.8,Yes,Tier 2,4,2.5,High
178,10179,52,31,Diploma,Operations,8,3.3,25,13,43.6,Yes,Tier 2,4,2.5,High
179,10180,53,33,High School,Finance,10,3.3,29,12,34.9,No,Tier 2,1,2.5,High
180,10181,21,0,Master,IT,1,3.6,3,3,41.9,Yes,Tier 2,5,0.9,Low
181,10182,39,18,Bachelor,IT,6,3.0,19,8,48.9,No,Tier 2,2,2.24,High
182,10183,22,2,Master,HR,1,3.6,4,2,47.4,No,Tier 3,5,0.88,Low
183,10184,46,19,High School,Marketing,5,5.0,19,8,42.3,Yes,Tier 2,4,2.08,Low
184,10185,52,27,Master,IT,8,3.7,24,13,51.3,No,Tier 1,4,2.5,High
185,10186,26,4,Bachelor,HR,2,3.7,6,4,52.5,Yes,Tier 1,4,1.22,Low
186,10187,52,25,Bachelor,Sales,8,3.0,24,9,46.3,No,Tier 1,4,2.5,High
187,10188,24,1,Bachelor,HR,1,4.6,7,2,35.7,No,Tier 2,4,0.78,Low
188,10189,31,11,Master,HR,4,4.8,11,5,33.6,Yes,Tier 1,5,1.66,Low
189,10190,37,16,Bachelor,HR,5,4.1,16,8,49.9,No,Tier 1,4,2.1,High
190,10191,58,35,Bachelor,Finance,9,3.9,33,13,44.2,No,Tier 1,3,2.5,High
191,10192,44,22,PhD,HR,6,3.3,17,11,51.2,Yes,Tier 2,3,2.5,High
192,10193,25,0,Master,Operations,2,3.8,8,1,36.3,No,Tier 1,1,0.85,Low
193,10194,54,28,Bachelor,HR,9,3.0,28,9,42.2,No,Tier 1,2,2.5,High
194,10195,26,3,Master,Finance,2,2.8,1,3,48.1,Yes,Tier 2,3,1.02,Low
195,10196,42,16,Bachelor,Finance,6,2.5,17,6,39.4,No,Tier 2,1,1.94,Low
196,10197,31,11,Diploma,Sales,4,3.8,10,3,48.1,Yes,Tier 1,5,1.58,Low
197,10198,36,14,Bachelor,Marketing,4,2.6,13,5,42.4,No,Tier 2,2,1.63,Low
198,10199,53,32,Master,IT,9,3.2,29,12,43.1,Yes,Tier 1,4,2.5,High
199,10200,29,7,Master,IT,2,3.5,11,5,37.1,No,Tier 3,4,1.29,Low
200,10201,26,4,Bachelor,HR,2,4.1,5,1,44.3,No,Tier 1,5,1.09,Low
201,10202,36,12,Bachelor,Sales,4,3.1,11,6,54.0,Yes,Tier 3,2,1.61,Low
202,10203,49,27,Diploma,HR,8,4.2,26,13,44.9,Yes,Tier 3,3,2.5,High
203,10204,23,1,PhD,IT,1,4.1,5,2,39.0,Yes,Tier 2,2,0.97,Low
204,10205,40,13,PhD,Finance,5,2.8,11,6,50.0,No,Tier 1,1,1.99,Low
205,10206,56,33,Bachelor,Marketing,9,4.2,34,13,39.2,Yes,Tier 2,5,2.5,High
206,10207,39,18,Master,Sales,6,3.3,16,8,51.6,No,Tier 1,3,2.28,High
207,10208,46,19,Master,Finance,6,3.2,21,10,36.6,No,Tier 3,2,2.27,High
208,10209,23,0,Bachelor,Marketing,2,3.3,4,1,44.4,No,Tier 2,2,0.78,Low
209,10210,39,16,High School,Sales,5,3.5,17,8,50.6,Yes,Tier 3,3,1.94,Low
210,10211,40,17,Bachelor,Sales,5,3.2,15,8,38.7,Yes,Tier 2,1,1.93,Low
211,10212,52,32,Master,IT,9,3.0,24,12,43.4,No,Tier 2,1,2.5,High
212,10213,27,4,Master,Finance,2,3.0,6,3,48.8,No,Tier 2,2,1.13,Low
213,10214,53,29,Bachelor,Sales,9,3.6,26,11,31.7,No,Tier 1,4,2.5,High
214,10215,60,36,PhD,Operations,10,3.4,29,12,47.6,No,Tier 2,3,2.5,High
215,10216,59,32,Diploma,Sales,10,3.8,31,12,42.6,Yes,Tier 2,1,2.5,High
216,10217,38,12,Bachelor,Marketing,5,3.5,12,7,50.2,No,Tier 3,1,1.68,Low
217,10218,60,40,Master,IT,10,3.6,33,16,38.9,Yes,Tier 2,1,2.5,High
218,10219,21,0,Master,HR,2,3.9,4,1,36.1,No,Tier 3,5,0.8,Low
219,10220,31,5,Bachelor,IT,2,4.4,9,3,40.3,No,Tier 3,4,1.21,Low
220,10221,48,21,Bachelor,HR,7,4.4,18,10,40.2,Yes,Tier 2,1,2.48,High
221,10222,45,20,Diploma,Finance,7,4.4,22,9,42.0,No,Tier 1,4,2.38,High
222,10223,43,16,Bachelor,Finance,6,4.1,21,8,40.7,No,Tier 2,2,2.11,High
223,10224,51,30,Bachelor,Sales,8,4.9,24,12,33.0,No,Tier 1,2,2.5,High
224,10225,50,29,Diploma,Operations,8,3.8,26,11,42.5,Yes,Tier 1,5,2.5,High
225,10226,55,32,Master,Finance,10,3.7,29,12,44.2,Yes,Tier 1,4,2.5,High
226,10227,27,4,Bachelor,Sales,3,5.0,12,1,42.0,Yes,Tier 3,3,1.23,Low
227,10228,36,11,Master,IT,4,1.7,10,6,44.4,Yes,Tier 1,5,1.71,Low
228,10229,46,23,Master,Finance,6,3.4,19,9,43.4,No,Tier 2,1,2.48,High
229,10230,22,1,Diploma,IT,1,4.3,1,0,36.1,No,Tier 3,2,0.62,Low
230,10231,21,0,High School,IT,1,4.1,6,1,41.5,Yes,Tier 2,2,0.7,Low
231,10232,32,5,Master,Operations,3,5.0,5,4,43.6,No,Tier 2,3,1.23,Low
232,10233,25,3,Bachelor,Finance,1,3.6,3,0,41.8,No,Tier 2,5,0.91,Low
233,10234,57,33,Master,IT,10,3.2,30,11,35.5,Yes,Tier 1,4,2.5,High
234,10235,52,30,Master,Operations,8,3.3,28,12,49.1,Yes,Tier 1,2,2.5,High
235,10236,29,7,Master,Operations,3,3.7,11,6,38.1,Yes,Tier 3,1,1.42,Low
236,10237,55,34,PhD,Finance,10,4.6,30,14,36.8,No,Tier 1,3,2.5,High
237,10238,39,17,Bachelor,Operations,5,4.6,17,9,43.2,No,Tier 2,3,2.12,High
238,10239,36,9,Bachelor,Finance,4,3.5,10,5,41.4,No,Tier 2,3,1.53,Low
239,10240,23,0,Bachelor,Finance,2,3.7,1,1,46.0,Yes,Tier 1,1,0.83,Low
240,10241,40,20,Diploma,HR,7,3.1,19,9,47.4,No,Tier 3,3,2.26,High
241,10242,44,21,Bachelor,IT,6,3.2,20,7,46.6,Yes,Tier 2,4,2.28,High
242,10243,53,33,Bachelor,Marketing,10,4.2,28,11,43.0,No,Tier 1,4,2.5,High
243,10244,44,18,Master,Finance,5,4.5,13,6,45.8,No,Tier 3,5,2.09,Low
244,10245,31,4,Bachelor,IT,2,3.0,3,4,35.2,Yes,Tier 2,5,1.01,Low
245,10246,28,1,Bachelor,Operations,2,3.7,4,1,48.5,No,Tier 2,4,0.95,Low
246,10247,56,32,Bachelor,Sales,9,3.3,31,13,41.0,No,Tier 2,1,2.5,High
247,10248,58,31,High School,Finance,9,4.1,32,12,52.8,No,Tier 1,5,2.5,High
248,10249,60,37,High School,Operations,10,3.2,32,15,48.6,Yes,Tier 2,3,2.5,High
249,10250,40,13,Bachelor,Operations,5,2.2,12,5,42.0,No,Tier 1,4,1.71,Low
250,10251,55,33,High School,Operations,9,4.2,28,12,43.1,No,Tier 2,2,2.5,High
251,10252,45,21,Bachelor,Operations,7,3.3,17,9,48.9,No,Tier 2,1,2.34,High
252,10253,55,32,Master,Operations,10,3.4,31,12,31.7,Yes,Tier 3,1,2.5,High
253,10254,45,20,Master,Finance,7,3.8,24,5,42.2,No,Tier 2,4,2.43,High
254,10255,49,24,Master,Marketing,8,3.7,20,8,51.5,Yes,Tier 1,2,2.5,High
255,10256,38,13,Diploma,HR,4,3.8,10,4,47.2,No,Tier 3,1,1.55,Low
256,10257,38,13,Master,Operations,4,2.4,16,5,38.8,Yes,Tier 2,5,1.74,Low
257,10258,22,0,Master,Operations,2,3.9,4,2,44.6,Yes,Tier 2,2,0.92,Low
258,10259,55,28,Diploma,HR,8,2.3,26,11,38.1,No,Tier 1,3,2.5,High
259,10260,36,16,Master,Finance,6,4.0,20,7,41.3,Yes,Tier 3,5,2.19,High
260,10261,56,33,Bachelor,IT,10,4.2,26,15,44.7,No,Tier 3,2,2.5,High
261,10262,53,31,Master,Sales,8,2.6,24,13,45.5,No,Tier 2,4,2.5,High
262,10263,24,0,PhD,Sales,1,3.7,3,2,46.6,Yes,Tier 3,1,0.91,Low
263,10264,53,27,High School,IT,8,4.2,25,9,49.2,Yes,Tier 1,5,2.5,High
264,10265,34,7,Master,Finance,2,3.2,8,4,37.0,No,Tier 3,4,1.21,Low
265,10266,41,21,Bachelor,Sales,7,3.9,26,9,43.1,Yes,Tier 2,2,2.5,High
266,10267,40,14,PhD,HR,4,1.7,13,6,38.7,No,Tier 1,3,1.73,Low
267,10268,28,4,Bachelor,IT,2,4.2,5,5,41.0,No,Tier 2,1,1.1,Low
268,10269,27,1,Master,Marketing,1,3.5,4,2,39.2,No,Tier 2,1,0.87,Low
269,10270,23,0,High School,Finance,1,3.3,5,0,45.5,No,Tier 1,5,0.68,Low
270,10271,37,13,Bachelor,IT,4,4.1,12,5,48.3,Yes,Tier 1,4,1.88,Low
271,10272,53,28,High School,Sales,9,4.6,25,14,48.5,No,Tier 1,2,2.5,High
272,10273,32,8,PhD,Finance,3,3.8,12,4,37.5,No,Tier 1,2,1.58,Low
273,10274,42,21,Master,HR,6,4.5,22,6,42.4,No,Tier 1,4,2.38,High
274,10275,42,19,Master,Finance,6,2.5,19,7,37.3,No,Tier 1,1,2.27,High
275,10276,50,27,PhD,Finance,8,3.9,31,8,37.2,No,Tier 1,4,2.5,High
276,10277,58,33,High School,HR,10,3.4,34,14,39.7,No,Tier 3,2,2.5,High
277,10278,58,37,Bachelor,Operations,10,3.0,29,11,44.7,Yes,Tier 2,4,2.5,High
278,10279,28,2,High School,HR,1,2.2,1,0,45.6,No,Tier 1,1,0.62,Low
279,10280,47,25,Diploma,Finance,8,3.9,25,10,46.3,Yes,Tier 3,5,2.5,High
280,10281,47,21,Diploma,HR,7,4.1,23,10,46.0,Yes,Tier 2,1,2.33,High
281,10282,54,27,Bachelor,Operations,8,4.4,24,10,38.8,Yes,Tier 2,3,2.5,High
282,10283,41,19,Bachelor,IT,6,4.3,17,6,48.9,Yes,Tier 2,3,2.33,High
283,10284,50,26,Diploma,HR,7,3.0,22,10,47.0,Yes,Tier 1,4,2.5,High
