Employee_Id,Age,Experience_Years,Education_Level,Job_Level,Department,Performance_Score,Weekly_Working_Hours,Salary_LPA
54,30,3,Bachelor,1,Operations,5,39.1,12.72
55,40,17,PhD,5,IT,1,39.3,47.1
56,28,7,Bachelor,2,Operations,2,38.5,19.55
57,22,3,Bachelor,1,Finance,4,46.6,13.98
58,29,1,Bachelor,1,Operations,5,37.0,10.96
59,29,5,Bachelor,2,Finance,9,42.1,22.14
60,29,9,Bachelor,3,Operations,1,40.9,21.96
61,24,3,Bachelor,2,IT,3,46.1,17.25
62,36,17,Master,5,Marketing,5,39.7,39.87
63,38,11,Bachelor,3,Operations,3,43.7,26.7
64,27,1,Bachelor,1,IT,4,37.3,14.74
65,29,9,Bachelor,3,IT,3,51.1,28.38
66,29,3,Bachelor,1,Finance,4,41.0,13.85
67,40,13,PhD,4,Operations,1,42.0,37.93
68,34,15,Bachelor,4,Finance,8,48.6,36.91
69,37,14,Bachelor,4,Finance,4,39.7,33.81
70,33,7,Master,3,IT,7,48.7,29.13
71,33,13,Bachelor,4,IT,2,40.4,31.91
72,29,7,Bachelor,2,Marketing,2,44.7,18.34
73,45,20,PhD,6,IT,6,39.7,54.0
74,36,15,Master,5,HR,2,36.6,34.69
75,35,12,PhD,5,Operations,6,43.7,42.24
76,43,17,Bachelor,5,IT,2,44.6,40.35
77,42,14,Bachelor,4,HR,4,36.7,29.64
78,41,20,Bachelor,6,IT,7,40.8,46.44
79,34,12,Bachelor,5,HR,8,46.8,34.52
80,35,8,Master,3,IT,3,44.4,29.3
81,39,14,Bachelor,4,Marketing,9,40.4,34.37
82,31,12,Master,4,IT,2,39.6,34.11
83,22,0,Master,2,Finance,8,49.8,19.6
84,28,6,Bachelor,2,HR,8,36.2,22.27
85,35,8,Bachelor,4,IT,4,41.8,29.43
86,24,0,Master,1,Marketing,1,36.1,12.42
87,38,11,Bachelor,3,IT,1,47.3,27.78
88,31,7,Master,2,HR,2,42.0,20.26
89,34,10,Bachelor,4,IT,9,42.7,34.25
90,41,18,Bachelor,5,HR,2,53.1,36.28
91,39,16,Master,6,IT,2,39.6,43.53
92,27,7,PhD,3,Finance,6,49.0,31.46
93,28,2,Bachelor,1,IT,7,40.4,15.14
94,28,2,Master,1,Marketing,7,41.1,19.54
95,21,0,Bachelor,1,IT,9,52.6,17.39
96,30,4,Master,2,Operations,6,41.4,22.57
97,32,9,Master,3,Operations,8,36.5,28.22
98,26,6,Bachelor,2,IT,6,43.1,21.15
99,28,8,Bachelor,3,HR,2,41.3,20.13
100,30,6,Master,3,IT,1,43.5,25.12
101,35,8,Bachelor,4,IT,5,41.5,30.01
102,26,7,Master,2,Marketing,9,50.9,26.39
103,35,11,Bachelor,4,HR,8,44.2,30.26
104,28,1,Master,1,HR,4,37.7,13.07
105,26,0,Master,1,IT,5,42.5,16.86
106,39,15,PhD,4,IT,5,38.8,43.55
107,25,4,Bachelor,2,IT,6,41.0,22.54
108,28,2,Master,2,Marketing,3,38.4,16.99
109,38,11,Master,3,Finance,5,50.4,32.99
110,26,7,Bachelor,3,Marketing,2,39.2,21.37
111,29,2,Bachelor,1,IT,10,44.8,16.95
112,24,0,Bachelor,1,IT,1,40.7,13.05
113,26,2,Master,1,IT,1,37.4,18.07
114,26,4,Bachelor,2,IT,10,42.8,24.27
115,33,14,Bachelor,5,IT,7,43.6,39.85
116,41,13,Master,4,Marketing,2,44.2,32.66
117,28,2,Bachelor,2,Operations,4,32.0,13.5
118,21,0,Bachelor,1,Finance,5,37.1,13.17
119,23,4,PhD,2,Finance,7,45.8,27.29
120,33,13,PhD,4,IT,2,38.3,41.02
121,25,6,Bachelor,2,Operations,6,42.8,19.67
122,27,8,Bachelor,3,IT,1,37.0,23.32
123,41,14,Master,4,Operations,7,44.9,35.92
124,33,14,Bachelor,4,Finance,9,45.7,35.61
125,31,9,Bachelor,4,IT,5,44.9,31.71
126,40,12,Bachelor,5,Operations,5,46.1,32.38
127,42,18,Bachelor,5,IT,4,48.3,40.58
128,31,6,Master,2,HR,3,37.3,21.32
129,36,16,Bachelor,5,Finance,9,38.8,39.71
130,43,19,Master,5,IT,5,45.6,46.88
131,28,3,PhD,1,Finance,8,46.5,21.49
132,32,4,Bachelor,2,HR,9,39.3,20.83
133,34,6,Master,2,Marketing,5,39.0,20.65
134,32,12,Master,4,IT,10,39.4,38.4
135,34,14,Bachelor,4,Operations,9,35.6,35.01
136,38,10,Bachelor,3,IT,2,36.9,26.48
137,28,3,Master,1,IT,9,37.0,22.43
138,31,12,Master,4,IT,4,40.8,34.13
139,32,6,Master,2,IT,6,43.1,25.3
140,39,18,Bachelor,5,IT,6,43.7,41.76
141,25,1,PhD,1,Operations,6,40.0,17.62
142,36,9,Bachelor,4,IT,2,40.1,29.47
143,36,12,Bachelor,5,IT,7,42.5,39.08
144,47,20,Master,6,IT,6,36.0,49.38
145,30,5,Bachelor,2,Marketing,1,45.8,18.09
146,38,11,Bachelor,3,Operations,2,47.1,23.88
147,31,11,Bachelor,4,IT,7,39.5,35.46
148,45,19,Bachelor,5,IT,1,40.4,40.51
149,36,10,Bachelor,3,IT,1,47.0,24.84
150,26,6,PhD,3,IT,1,41.5,31.85
151,22,0,Bachelor,2,IT,8,44.4,18.42
152,25,0,Master,1,Finance,4,41.6,15.87
153,41,19,Master,5,IT,4,48.2,45.58
154,34,12,PhD,4,Finance,2,44.0,37.57
155,32,8,Bachelor,3,IT,1,44.2,25.47
156,30,2,Master,1,Operations,10,44.3,19.76
157,30,6,Bachelor,2,Operations,9,39.8,20.92
158,33,5,Master,2,Finance,7,40.1,24.35
159,28,7,Master,2,IT,4,45.1,25.91
160,35,8,Master,3,IT,6,42.5,30.76
161,32,4,Bachelor,2,Finance,2,37.3,16.14
162,21,0,Master,1,Marketing,7,49.5,16.26
163,42,18,Bachelor,5,Finance,2,45.9,40.93
164,34,9,Master,3,Operations,10,42.2,30.57
165,38,11,PhD,3,Operations,8,40.9,36.67
166,35,14,Bachelor,4,IT,8,42.8,36.38
167,36,8,PhD,4,Finance,1,44.1,32.02
168,40,19,Bachelor,6,IT,8,33.9,50.99
169,41,16,Bachelor,5,IT,2,50.4,39.38
170,38,16,Bachelor,5,Finance,6,38.8,39.59
171,45,19,Bachelor,5,IT,1,42.0,40.67
172,36,11,Master,3,Operations,5,42.1,31.06
173,29,6,Bachelor,2,IT,7,50.0,24.34
174,26,1,Bachelor,1,Finance,10,41.6,17.16
175,23,2,PhD,1,HR,1,48.4,15.45
176,36,16,Master,5,HR,2,43.6,38.87
177,28,4,Master,2,IT,7,38.2,23.92
178,36,16,Master,5,Operations,6,42.5,41.51
179,37,16,Master,5,Finance,3,41.5,38.11
180,40,16,Bachelor,5,Finance,10,37.7,42.17
181,24,1,Bachelor,2,IT,2,43.4,13.13
182,27,1,Master,1,Finance,10,42.1,18.89
183,31,4,Bachelor,3,Marketing,4,44.2,18.39
184,21,0,Master,1,HR,3,42.8,12.63
185,28,0,Bachelor,2,Marketing,7,39.4,15.49
186,39,18,Bachelor,5,Finance,8,45.1,41.48
187,22,1,Bachelor,1,IT,2,39.5,14.03
188,44,20,Master,6,IT,10,32.0,50.98
189,30,11,Master,3,IT,7,42.5,30.06
190,30,5,Master,2,HR,8,39.8,22.95
191,22,3,Bachelor,1,Marketing,6,43.5,12.31
192,33,10,Bachelor,4,IT,6,50.0,31.96
193,44,16,Master,5,Finance,10,50.1,44.79
194,31,5,Master,2,Finance,1,41.3,18.2
195,26,4,Bachelor,2,Finance,4,38.7,17.2
196,42,19,Master,5,IT,1,44.3,41.46
197,23,1,Bachelor,1,IT,4,40.5,13.88
198,27,5,Bachelor,2,IT,2,43.6,17.76
199,36,10,Bachelor,3,IT,5,39.4,28.34
200,35,15,Master,5,IT,10,43.0,46.88
201,34,15,Master,4,IT,9,38.8,42.24
202,21,0,Bachelor,1,HR,10,46.7,13.64
203,35,8,Master,4,IT,3,39.6,30.33
204,27,5,Bachelor,2,Operations,8,44.6,20.41
205,43,15,Bachelor,4,IT,3,36.9,33.42
206,25,2,Bachelor,1,IT,6,45.1,16.45
207,39,19,Bachelor,6,IT,4,38.1,42.74
208,25,3,Bachelor,1,IT,8,43.0,19.16
209,38,18,Master,6,Marketing,6,46.1,46.43
210,22,2,Master,2,IT,8,41.2,26.05
211,40,18,Bachelor,5,Operations,1,37.9,37.35
212,43,19,Bachelor,6,Operations,6,44.0,44.25
213,31,6,Bachelor,2,Finance,1,38.6,17.39
214,47,19,Bachelor,5,Finance,1,40.4,37.46
215,29,8,Bachelor,3,HR,8,43.1,26.48
216,21,0,Master,1,IT,7,47.4,18.07
217,35,7,Bachelor,2,HR,3,42.1,19.37
218,30,6,Master,2,IT,6,42.1,26.05
219,38,17,Master,5,IT,9,45.0,47.19
220,27,7,Bachelor,2,Finance,7,42.2,23.29
221,26,0,Master,1,Finance,3,44.5,12.91
222,33,10,Master,4,Operations,6,46.3,31.48
223,36,17,Master,5,IT,4,40.7,41.84
224,30,9,Bachelor,3,Marketing,3,32.0,24.32
225,30,2,Bachelor,1,IT,9,38.7,16.51
226,32,6,Bachelor,2,IT,10,46.8,24.56
227,37,15,Bachelor,4,IT,2,41.9,34.65
228,40,15,Bachelor,4,Finance,1,40.6,31.45
229,47,19,Master,6,IT,2,46.7,46.73
230,36,16,Bachelor,6,Finance,7,41.6,42.42
231,26,1,PhD,2,Marketing,10,33.6,21.95
232,23,0,Master,1,Finance,1,36.0,10.87
233,38,15,Bachelor,4,Finance,6,43.7,36.66
234,35,11,Bachelor,3,Marketing,7,41.7,27.49
235,31,4,Master,2,Marketing,9,47.8,21.49
236,28,4,Master,2,Finance,8,39.1,22.22
237,34,8,Master,3,IT,6,40.8,30.8
238,33,8,Bachelor,3,Operations,3,38.5,22.64
239,29,2,Bachelor,2,Finance,8,39.9,18.44
240,40,18,Bachelor,6,IT,7,34.4,44.77
241,35,15,Bachelor,4,IT,3,40.5,32.86
242,40,15,Master,5,Marketing,9,41.8,42.69
243,26,2,Master,1,IT,2,41.5,17.33
244,38,19,Master,5,Operations,3,50.6,43.49
245,27,0,Master,2,IT,2,49.3,17.11
246,46,19,Master,6,Marketing,1,39.0,45.06
247,30,10,Bachelor,4,IT,4,33.8,30.34
248,37,16,Bachelor,5,Finance,5,41.6,38.51
249,30,7,PhD,2,Operations,6,43.5,28.6
250,26,3,Bachelor,1,Finance,5,38.6,13.74
251,24,5,PhD,3,Finance,1,38.8,24.31
252,33,7,Master,2,IT,3,48.3,25.81
253,45,19,Bachelor,5,IT,1,41.0,40.3
254,24,2,Master,1,IT,5,44.6,18.09
255,40,15,Master,5,HR,5,38.3,39.11
256,30,2,Master,1,IT,6,41.8,19.94
257,38,17,PhD,5,IT,8,40.7,47.89
258,37,13,PhD,4,Finance,10,39.3,42.82
259,45,17,Bachelor,5,HR,1,46.6,32.39
260,29,1,Bachelor,2,Marketing,4,36.4,13.91
261,29,2,PhD,2,IT,10,43.2,28.41
262,34,15,Master,4,IT,1,40.6,36.84
263,31,8,Bachelor,3,Operations,9,43.7,25.26
264,25,3,Bachelor,1,IT,7,40.6,16.84
265,26,0,Master,1,Operations,7,45.5,11.33
266,22,3,PhD,1,Operations,5,38.2,20.53
267,27,0,Master,2,Marketing,7,46.6,18.87
268,37,13,Master,4,IT,2,41.9,35.41
269,42,20,Bachelor,6,Marketing,4,36.7,41.24
270,42,15,Bachelor,5,Marketing,7,44.7,38.65
271,42,19,Master,5,HR,3,41.2,42.68
272,30,7,Bachelor,2,IT,2,35.2,20.04
273,29,6,Bachelor,2,IT,10,43.3,26.04
274,21,2,Bachelor,1,IT,2,46.0,12.64
275,35,16,Master,6,Finance,1,47.1,42.43
276,26,0,PhD,1,HR,5,40.5,15.15
277,41,15,Bachelor,4,IT,6,42.6,37.6
278,35,11,Bachelor,3,Finance,6,42.2,28.72
279,40,18,Master,6,IT,9,48.0,49.53
280,33,13,PhD,4,HR,4,38.8,35.89
281,25,5,Bachelor,3,Operations,1,40.1,18.58
282,32,5,Bachelor,2,IT,6,38.7,22.55
283,35,12,Bachelor,4,IT,5,36.2,34.72
284,40,18,Master,5,IT,10,43.0,47.88
285,35,7,Bachelor,3,HR,6,48.4,21.98
286,21,1,Bachelor,1,Marketing,3,41.2,10.88
287,45,20,Master,6,Operations,2,38.5,46.52
288,21,0,Master,2,IT,6,42.7,18.57
289,38,14,Bachelor,5,Operations,1,44.4,31.76
290,23,0,Master,1,IT,7,41.4,18.6
291,27,4,Bachelor,2,HR,7,47.6,18.64
292,38,15,Master,4,IT,10,38.8,41.3
293,37,18,Bachelor,6,Operations,7,40.9,43.39
294,22,3,Master,1,Finance,10,43.2,22.18
295,23,2,Bachelor,1,HR,1,43.6,9.22
296,44,16,Master,5,Marketing,4,42.2,39.65
297,38,16,Master,5,IT,7,36.9,44.61
298,34,11,Master,3,IT,9,51.4,35.39
299,33,13,Master,4,Operations,5,41.1,35.56
300,46,20,Master,6,IT,2,42.4,50.12
301,25,5,Bachelor,2,IT,7,44.5,21.49
302,29,2,Bachelor,1,Finance,10,39.5,15.36
303,28,8,PhD,3,HR,1,42.2,28.17
304,31,4,Bachelor,3,IT,7,39.3,22.95
305,41,16,Master,5,IT,6,43.7,42.23
306,39,13,PhD,5,IT,7,40.9,43.21
307,40,20,Bachelor,6,Finance,10,43.1,47.99
308,27,2,Master,1,Operations,3,37.8,13.63
309,24,0,Bachelor,2,Operations,3,38.7,11.63
310,41,19,Master,5,HR,7,36.5,44.59
311,45,20,Bachelor,6,IT,2,39.2,46.02
312,22,0,Bachelor,1,Operations,1,32.0,9.52
313,22,2,Master,1,Finance,9,40.8,19.37
314,45,17,Master,5,IT,9,39.9,47.71
315,34,9,Master,3,Operations,7,42.6,29.38
316,28,2,Bachelor,2,Marketing,7,42.2,17.58
317,27,7,Bachelor,2,Marketing,3,47.0,18.8
318,36,13,Master,4,Marketing,10,52.4,36.13
319,36,17,Bachelor,5,IT,2,46.6,40.04
320,39,14,PhD,5,IT,7,40.2,47.85
321,27,1,Master,1,HR,9,40.0,14.57
322,33,9,Master,4,IT,1,45.5,31.53
323,24,1,PhD,2,Finance,4,35.3,23.16
324,40,16,Bachelor,5,Marketing,6,40.7,37.62
325,27,7,Master,2,Marketing,7,41.0,25.91
326,21,0,Bachelor,1,Finance,10,44.3,15.38
327,33,8,PhD,4,Marketing,7,44.5,35.38
328,35,10,Bachelor,3,Marketing,10,39.0,30.52
329,43,15,Master,4,HR,2,40.3,32.25
330,34,6,Master,2,IT,4,43.8,23.53
331,29,9,Bachelor,3,IT,5,38.8,26.33
332,22,2,Bachelor,1,IT,1,46.8,11.72
333,36,17,Master,5,IT,1,44.4,41.64
334,40,12,Bachelor,5,IT,10,42.7,39.3
335,32,6,Bachelor,2,IT,3,43.6,21.32
336,29,3,Bachelor,2,Finance,10,40.1,18.88
337,31,12,Bachelor,4,Operations,3,39.5,27.56
338,45,19,Master,5,IT,8,40.3,47.44
339,27,0,Master,1,Marketing,9,44.0,18.63
340,29,7,Bachelor,2,HR,1,42.8,17.18
341,32,13,Bachelor,4,IT,2,40.3,31.47
342,34,15,Bachelor,4,Operations,10,45.0,34.66
343,34,13,Bachelor,4,Finance,2,41.3,29.98
344,34,11,Bachelor,4,IT,4,39.2,31.64
345,41,18,Bachelor,5,Marketing,2,43.0,34.51
346,41,14,Bachelor,4,IT,7,37.9,34.63
347,29,1,Master,1,HR,9,35.3,15.14
348,21,1,Bachelor,1,IT,7,42.0,15.45
349,38,18,Master,6,Marketing,6,39.4,45.79
350,40,16,Master,5,Finance,10,41.0,43.95
351,46,19,Master,5,HR,1,38.1,39.76
352,28,9,Master,3,IT,10,46.8,34.44
353,32,5,Bachelor,2,HR,9,39.4,19.51
354,41,14,Master,4,Marketing,5,40.3,36.25
355,37,10,Master,3,Finance,5,43.5,30.8
356,27,4,Bachelor,2,HR,6,36.5,15.18
357,27,0,Master,1,Finance,9,36.2,17.21
358,29,7,Master,3,Operations,8,43.5,29.1
359,40,20,Bachelor,6,Finance,8,40.2,48.18
360,35,11,Bachelor,3,Marketing,8,38.4,28.97
361,33,11,Bachelor,4,Marketing,1,44.4,27.37
362,28,4,Master,2,Finance,1,38.8,19.36
363,27,6,Master,2,IT,8,40.9,27.74
364,27,3,PhD,1,Finance,5,38.4,21.51
365,25,5,Master,3,Marketing,9,43.2,27.73
366,32,12,Bachelor,5,IT,2,47.3,34.78
367,46,19,Bachelor,5,Finance,9,34.6,41.46
368,39,14,Master,5,Marketing,8,42.5,40.59
369,23,2,Master,2,IT,9,45.4,23.57
370,26,7,PhD,3,HR,4,40.3,27.87
371,45,19,Bachelor,5,IT,1,37.5,41.32
372,39,15,Bachelor,4,IT,1,43.7,34.64
373,37,12,Master,4,Marketing,5,46.0,32.2
374,44,17,Master,5,IT,2,45.6,40.9
375,32,9,Master,3,IT,8,43.5,32.29
376,37,18,Master,6,Operations,10,42.4,47.42
377,44,16,Bachelor,5,IT,5,38.4,40.1
378,43,18,Master,5,Operations,5,45.5,40.5
379,27,4,Master,2,Operations,2,45.2,19.67
380,41,20,Master,6,IT,7,37.4,50.49
381,35,8,Master,4,IT,8,43.5,34.67
382,30,11,Bachelor,3,Marketing,10,44.6,30.3
383,39,20,Bachelor,6,Finance,1,45.5,42.29
384,21,0,PhD,1,IT,2,41.7,16.2
385,21,0,Bachelor,1,Marketing,10,38.6,14.1
386,38,14,PhD,5,IT,4,40.0,44.12
387,29,1,Bachelor,1,Operations,5,38.0,9.99
388,36,15,Master,4,IT,2,41.8,38.31
389,33,7,Master,2,IT,1,41.0,23.88
390,40,12,PhD,4,IT,9,50.6,46.62
391,40,20,Bachelor,6,Operations,1,45.6,42.3
392,27,0,Master,2,HR,4,45.9,15.2
393,36,15,Bachelor,4,Marketing,2,43.9,30.58
394,29,6,Bachelor,2,IT,4,40.5,20.55
395,32,4,Master,3,IT,8,40.9,27.47
396,28,2,Master,1,IT,8,41.3,20.33
397,31,11,PhD,3,Finance,9,42.8,35.68
398,39,15,Bachelor,4,Finance,5,43.6,35.36
399,41,18,Bachelor,5,HR,7,42.0,39.62
400,32,4,Bachelor,2,IT,3,40.8,19.45
401,40,13,Bachelor,5,Operations,10,39.6,36.15
402,27,4,Bachelor,3,IT,4,36.4,22.61
403,34,14,Master,5,Operations,10,47.1,43.53
404,39,16,Bachelor,5,IT,9,50.8,42.28
405,35,13,PhD,4,Finance,10,46.8,42.33
406,44,19,PhD,5,IT,10,37.0,53.26
407,28,4,Master,3,Finance,1,45.1,21.4
408,31,11,PhD,3,Finance,2,46.1,32.96
409,38,15,Master,4,Finance,5,40.4,39.1
410,40,15,Bachelor,4,Finance,3,44.0,32.27
411,45,20,Bachelor,6,Marketing,2,40.2,43.87
412,29,6,Bachelor,2,HR,1,48.1,15.9
413,30,3,Master,2,Marketing,10,43.5,21.88
414,22,0,Master,1,IT,3,38.3,15.74
415,25,4,Bachelor,2,HR,1,44.7,14.46
416,31,9,Master,3,HR,1,46.2,24.91
417,27,4,Master,2,IT,1,42.8,19.75
418,27,3,Bachelor,1,Finance,8,43.9,16.88
419,22,1,PhD,1,IT,3,41.7,17.65
420,39,19,Bachelor,5,IT,1,37.5,39.86
421,31,9,Bachelor,4,IT,7,41.4,33.67
422,41,18,Master,5,IT,10,44.1,46.01
423,22,0,Bachelor,2,HR,3,41.5,11.48
424,25,4,Master,2,HR,8,45.2,20.87
425,38,12,Bachelor,4,Operations,4,40.4,27.82
426,31,3,Bachelor,2,Marketing,4,40.7,13.64
427,37,15,PhD,4,IT,5,45.3,41.81
428,35,15,Bachelor,5,Operations,6,42.9,36.59
429,21,1,Bachelor,1,Operations,7,40.4,14.01
430,35,16,Bachelor,6,Finance,4,46.1,39.56
431,41,19,PhD,5,HR,8,39.2,48.14
432,39,11,Bachelor,3,Operations,6,39.1,27.04
433,44,17,Bachelor,6,Finance,1,32.0,41.17
434,27,2,Bachelor,1,Operations,1,39.8,10.22
435,28,0,Bachelor,2,IT,9,47.2,20.58
436,25,0,Master,1,IT,10,33.7,20.04
437,43,18,Master,5,Finance,6,38.2,42.45
438,36,10,Bachelor,4,HR,10,43.8,30.92
439,23,4,Master,2,Marketing,8,33.0,23.28
440,39,11,Bachelor,3,Operations,7,40.0,25.04
441,30,2,PhD,1,IT,6,46.6,22.51
442,26,0,PhD,1,IT,4,50.2,19.02
443,22,0,Bachelor,1,Marketing,7,43.2,12.79
444,29,7,Master,2,HR,9,38.3,24.06
445,31,9,Master,4,IT,10,38.2,37.56
446,34,10,Bachelor,3,Finance,10,42.6,30.18
447,36,11,Bachelor,3,Marketing,7,43.1,26.39
448,36,12,Bachelor,4,Marketing,1,49.4,27.1
449,30,11,Master,4,Finance,10,45.9,37.61
450,39,13,PhD,4,IT,9,42.3,42.96
451,29,1,Master,1,Operations,4,40.7,13.07
452,43,18,Master,5,HR,3,54.1,42.0
453,41,17,Master,5,Finance,4,44.5,42.82
454,26,2,Master,2,IT,4,39.3,22.8
455,39,16,Master,5,Marketing,10,41.1,43.31
456,31,7,Bachelor,3,IT,2,38.5,22.96
457,36,9,Master,3,IT,1,32.4,27.79
458,29,1,Master,1,Finance,10,43.3,18.64
459,45,18,Bachelor,5,IT,1,49.1,39.04
460,36,8,Master,4,HR,8,35.5,30.7
461,32,6,Bachelor,3,IT,2,42.2,25.16
462,31,3,Bachelor,1,HR,10,39.2,16.53
463,47,20,Master,6,IT,5,44.1,50.75
464,45,17,Bachelor,5,IT,4,41.3,42.08
465,38,12,Bachelor,4,IT,8,36.6,36.01
466,36,10,Bachelor,3,Operations,2,38.1,21.89
467,22,3,Master,2,Operations,10,38.7,23.41
468,48,20,Bachelor,6,IT,9,47.4,50.86
469,26,3,PhD,1,Marketing,7,47.2,23.16
470,31,9,Bachelor,4,HR,7,40.8,28.33
471,24,4,PhD,3,Operations,1,46.9,25.86
472,34,8,PhD,3,IT,2,41.3,31.78
473,23,2,Bachelor,2,HR,4,40.7,13.08
474,38,16,Bachelor,5,IT,4,42.2,38.5
475,27,2,Bachelor,1,IT,3,43.1,14.94
476,43,15,Master,4,Operations,7,39.8,36.0
477,30,3,Bachelor,2,Finance,8,42.1,18.84
478,37,17,Bachelor,6,IT,2,45.1,43.26
479,37,16,Bachelor,6,IT,4,42.5,42.76
480,28,6,Bachelor,2,Marketing,3,42.2,18.82
481,32,4,Bachelor,2,HR,2,44.0,13.45
482,30,11,Master,3,IT,6,44.7,33.89
483,41,16,PhD,5,Operations,4,41.7,42.54
484,32,12,Bachelor,4,IT,6,40.1,32.69
485,25,2,Master,1,IT,2,42.8,15.82
486,27,8,Bachelor,3,Operations,4,35.6,24.28
487,37,16,Master,5,IT,6,41.2,43.16
488,36,16,PhD,5,IT,5,32.1,48.86
489,38,19,Master,6,Finance,3,35.3,42.95
490,40,15,PhD,4,Marketing,8,34.7,39.97
491,35,12,Bachelor,5,IT,7,46.2,39.84
492,37,18,Master,6,Operations,3,42.1,45.51
493,40,16,Master,5,Marketing,6,37.0,39.72
494,26,3,Bachelor,1,IT,4,44.0,15.75
495,32,11,PhD,4,Marketing,5,46.0,38.23
496,33,8,Bachelor,3,IT,5,44.0,26.69
497,46,18,Master,5,Finance,7,41.2,44.63
498,38,11,Bachelor,3,Marketing,5,42.9,26.95
499,35,8,Bachelor,3,Operations,3,45.6,21.02
500,33,6,Master,2,IT,10,40.1,27.59
501,33,13,Master,4,Finance,5,42.1,35.78
502,40,19,Bachelor,6,Finance,7,41.0,45.6
503,43,18,Bachelor,5,IT,5,35.5,39.11
504,37,14,Master,4,IT,5,45.7,39.31
505,35,15,Bachelor,5,IT,9,50.2,42.57
506,41,20,Bachelor,6,HR,3,38.5,40.26
507,32,4,PhD,3,Finance,6,45.9,32.03
508,26,2,Master,1,IT,1,38.6,15.02
509,36,11,Bachelor,4,Marketing,10,42.5,33.01
510,46,19,Master,5,Marketing,5,48.0,44.31
511,39,20,Master,6,Finance,8,39.9,52.15
512,28,3,Master,1,IT,5,41.9,19.97
513,46,20,Bachelor,6,HR,9,34.8,46.13
514,36,15,Bachelor,4,IT,6,39.3,35.19
515,28,6,Bachelor,2,IT,8,34.4,23.36
516,40,12,Bachelor,4,Marketing,10,43.7,33.66
517,44,20,Master,6,IT,8,45.3,52.67
518,37,9,Bachelor,3,IT,3,41.1,27.24
519,31,6,Master,3,IT,7,43.1,31.46
520,35,13,Bachelor,5,IT,7,40.7,36.07
521,30,4,Bachelor,2,IT,10,45.0,22.94
522,25,2,Master,2,Operations,6,42.5,20.76
523,29,10,Bachelor,3,IT,7,34.1,27.5
524,32,10,Bachelor,3,IT,2,45.8,27.83
525,38,17,Master,6,IT,9,40.4,50.89
526,41,14,Bachelor,5,Operations,10,36.9,38.12
527,37,11,Master,3,Finance,10,40.2,32.26
528,27,8,Master,3,IT,1,34.4,26.46
